"Español","English","Type"
"los aficionados","the fans","noun"
"deshacer","to undo","verb"
"imprevisto","something unexpected","adjective"
"el único en ...","the only one who ...","adjective"
"acabo de tropezarme ...","I just bumped into ...","other"
"la falta de sueño","lack of sleep","other"
"bastante","enough","other"
"extrañar","to miss","verb"
"media jornada","part-time","adjective"
"servir","to still work","verb"
"no servir para nada","it's useless","adjective"
"echar de menos","to miss","verb"
"al cabo de tiempo","after a while","other"
"yerno","son-in-law","noun"
"nuera","daughter-in-law","noun"
"así que ...","therefore ...","other"
"un montón","a lot of ","other"
"bajar","to descend","verb"
"raíz","root","noun"
"acontecer","to take place (event)","verb"
"producirse","to make something happen","verb"
"tuvo lugar a ...","it happened when ...","other"
"la balsa","a raft / small boat","noun"
"el balseo","small boat driver","noun"
"creía que iba a ser","I thought it was going to be ...","other"
"un voto","a single vote","noun"
"un votación","a vote (e.g. nationally)","noun"
"jurar","to swear","verb"
"mentir","to lie","verb"
"raro","strange / weird","adjective"
"¡lo te juro!","I swear to you!","other"
"un milagro","a miracle","noun"
"avanzar","to advance / move forward","verb"
"rodear","to move around / to avoid","verb"
"sin duda","without a doubt","other"
"estar espeso","not thinking clearly","adjective"
"frenar","to slow down","verb"
"crecer","to grow","verb"
"envejecer","to age","verb"
"prever","to foresee","verb"
"prevenir","to prevent","verb"
"se empieza a ver ...","one starts to see ... ","other"
"cultivar","to cultivate (a crop)","verb"
"una sequiá","a drought","noun"
"un/a médico/a","a doctor","noun"
"medicar","to give medicine","verb"
"hacer frente","to face","verb"
"confiar","to trust","verb"
"tratar","to work with","verb"
"atrapados","trapped","adjective"
"llevar a cabo","to bring to an end","verb"
"borrar","to erase","verb"
"ahogarse","to drown","verb"
"destacar","to stand out","verb"
"seguistar","to kidnap","verb"
"escalafrigante","gives you the chills","adjective"
"comida casera","homemade food","noun"
"un gallo","a rooster","noun"
"hartarse","to be fed up","verb"
"de prente","suddenly","other"
"de pronto","suddenly","other"
"al principio","at first","other"
"dado que","given that","other"
"por otro lado","on the other hand","other"
"sin embargo","although","other"
"una historia","a story (very general)","noun"
"un cuento","a fairytale","noun"
"matar","to kill","verb"
"relatar","to tell a story","verb"
"un chiste","a joke","noun"
"una broma","a joke / an insult","noun"
"rara vez","rare","adjective"
"la mitad de ...","half of ...","other"
"un cuerto de ...","quarter of ...","other"
"rechazar","to reject","verb"
"elogiar","to compliment","verb"
"un cumplido","a compliment","noun"
"un choque","a crash / a shock","noun"
"los horarios","the schedules","noun"
"los servicios","the services","noun"
"regatear","to bargain","verb"
"fijo","fixed","adjective"
"sobremesa","time spent after dinner","noun"
"cuento nunca cabar","neverending story","noun"
"de acuerdo","I agree","adjective"
"asentir","to nod","verb"
"de lado a lado","from side to side","other"
"la propina","the tip","noun"
"ocio","leisure","noun"
"tutear","to use the tu tense","verb"
"arreglarse","to dress up","verb"
"un detalle","a small gift","noun"
"los dudas","doubts","noun"
"accedar","to assess","verb"
"una muestra de ...","a show of ...","other"
"las normas","the rules","noun"
"las reglas","the rules","noun"
"colocar","to put / to place","verb"
